"X","salary","pcsalary","sales","roe","pcroe","ros","indus","finance","consprod","utility","lsalary","lsales"
1,1001,32,9958,10.900009765625,-30.60001953125,13,1,0,0,0,6.908755,9.206132
2,1122,9,6125.905,23.5,-16.300009765625,14,1,0,0,0,7.022868,8.720281
3,578,-9,16246,5.9000048828125,-25.70001953125,-21,1,0,0,0,6.359574,9.695602
4,1368,7,21783.22,13.800009765625,-3,56,1,0,0,0,7.221105,9.988894
5,1145,5,6021.405,20,1,55,1,0,0,0,7.04316,8.703075
6,1078,10,2266.70125,16.400009765625,-5.9000048828125,62,1,0,0,0,6.982863,7.72608
7,1094,7,2966.8025,16.300009765625,-1.60000122070313,44,1,0,0,0,6.997596,7.995239
8,1237,16,4570.2025,10.5,-70.2000390625,37,1,0,0,0,7.120444,8.427312
9,833,5,2830,26.30001953125,-23.90001953125,37,1,0,0,0,6.725034,7.948032
10,567,7,596.8003125,25.90001953125,39.5,109,1,0,0,0,6.340359,6.391582
11,933,-3,19773,26.80001953125,-26.80001953125,-10,1,0,0,0,6.838405,9.892073
12,1339,-9,40047,14.800009765625,12.100009765625,41,1,0,0,0,7.199678,10.59781
13,937,9,2513.80125,22.30001953125,9.8000048828125,44,1,0,0,0,6.842683,7.829551
14,2011,49,1580.60125,56.3000390625,62.2000390625,63,1,0,0,0,7.606388,7.36556
15,1585,4,6754,12.600009765625,9.3000048828125,17,1,0,0,0,7.36834,8.81789
16,905,12,1066.300625,20.400009765625,33.80001953125,141,1,0,0,0,6.807935,6.97195
17,1058,94,3199.9025,1.90000122070312,-86.800078125,-15,1,0,0,0,6.964136,8.070875
18,922,48,1452.70125,19.900009765625,97.300078125,56,1,0,0,0,6.826545,7.281179
19,1220,-7,8995,15.400009765625,19.5,28,1,0,0,0,7.106606,9.104424
20,1022,16,1212.300625,38.70001953125,162.900078125,83,1,0,0,0,6.929517,7.100275
21,759,12,2824.2025,16.400009765625,-9.4000048828125,21,1,0,0,0,6.632002,7.945981
22,1414,0,7621,24.40001953125,-30.20001953125,-10,1,0,0,0,7.254178,8.938663
23,1041,-11,4418.3025,15.600009765625,-7.5,74,1,0,0,0,6.947937,8.39351
24,1688,1,12343,14.400009765625,-16.800009765625,15,1,0,0,0,7.4313,9.420844
25,2983,13,57662,19,9.9000048828125,42,1,0,0,0,8.000685,10.96235
26,1160,0,4319.7025,16.100009765625,-23.30001953125,-2,1,0,0,0,7.056175,8.370941
27,3844,61,20604,12.100009765625,-5.9000048828125,18,1,0,0,0,8.254269,9.933241
28,476,6,611.3003125,16.200009765625,-15.700009765625,40,1,0,0,0,6.165418,6.415588
29,1492,10,12431.7,18.400009765625,-23.30001953125,58,1,0,0,0,7.307873,9.428005
30,1024,-3,8169,14.200009765625,-36.20001953125,-10,1,0,0,0,6.931472,9.008101
31,1593,18,20659,14.900009765625,410.3003125,16,1,0,0,0,7.373374,9.935906
