state,year,spirits,unemp,income,emppop,beertax,baptist,mormon,drinkage,dry,youngdrivers,miles,breath,jail,service,fatal,nfatal,sfatal,fatal1517,nfatal1517,fatal1820,nfatal1820,fatal2124,nfatal2124,afatal,pop,pop1517,pop1820,pop2124,milestot,unempus,emppopus,gsp
al,1982,1.370000004768372,14.39999961853027,10544.15234375,50.69203948974609,1.539379477500916,30.35569953918457,.3282899856567383,19,25.00629997253418,.2115720063447952,7233.88720703125,no,no,no,839,146,99,53,9,99,34,120,32,309.43798828125,3942002.25,208999.59375,221553.4375,290000.0625,28516,9.699999809265137,57.79999923706055,-.0221247598528862
al,1983,1.360000014305115,13.69999980926514,10732.7978515625,52.14702987670898,1.78899073600769,30.33359909057617,.3434099853038788,19,22.99419975280762,.21076799929142,7836.34765625,no,no,no,930,154,98,71,8,108,26,124,35,341.8340148925781,3960008,202000.078125,219125.46875,290000.15625,31032,9.600000381469727,57.90000152587891,.046558253467083
al,1984,1.320000052452087,11.10000038146973,11108.791015625,54.16808700561523,1.714285612106323,30.31150054931641,.3592399954795837,19,24.04260063171387,.2114840000867844,8262.990234375,no,no,no,932,165,94,49,7,103,25,118,34,304.8720092773438,3988991.75,196999.96875,216724.09375,288000.15625,32961,7.5,59.50000381469727,.062797836959362
al,1985,1.279999971389771,8.899999618530273,11332.626953125,55.27113723754883,1.652542352676392,30.28949928283691,.375789999961853,19.67000007629395,23.6338996887207,.2111400067806244,8726.9169921875,no,no,no,882,146,98,66,9,100,23,114,45,276.7420043945313,4021007.75,194999.734375,214349.03125,284000.3125,35091,7.199999809265137,60.10000228881836,.0274899732321501
al,1986,1.230000019073486,9.800000190734863,11661.5068359375,56.51449584960938,1.609907031059265,30.26740074157715,.3931100070476532,21,23.46470069885254,.2134000062942505,8952.853515625,no,no,no,1081,172,119,82,10,120,23,119,29,360.7160034179688,4049993.75,203999.890625,212000,263000.28125,36259,7,60.70000076293945,.032142948359251
al,1987,1.179999947547913,7.800000190734863,11944,57.50988006591797,1.559999942779541,30.24530029296875,.4112299978733063,21,23.79240036010742,.2155269980430603,9166.3017578125,no,no,no,1110,181,114,94,11,127,31,138,30,368.4209899902344,4082999,204999.8125,208998.453125,258999.765625,37426,6.199999809265137,61.5,.0489763729274273
al,1988,1.169999957084656,7.199999809265137,12368.6240234375,56.83452987670898,1.50144362449646,30.22330093383789,.4301800131797791,21,23.79240036010742,.2183279991149902,9674.3232421875,no,no,no,1023,139,89,66,8,105,24,123,25,298.3219909667969,4101992.25,201000.125,193000.515625,262999.78125,39684,5.5,62.30000305175781,.0353918187320232
az,1982,1.970000028610229,9.899999618530273,12309.0693359375,56.89329528808594,.2147971391677856,3.958899974822998,4.919099807739258,19,0,.2090120017528534,6810.15673828125,no,yes,yes,724,131,76,40,7,81,16,96,36,173.6679992675781,2896996.5,140999.984375,156378.703125,217999.984375,19729,9.699999809265137,57.79999923706055,-.0431818999350071
az,1983,1.899999976158142,9.100000381469727,12693.8076171875,57.55363082885742,.2064220309257507,3.890100002288818,4.831069946289063,19,0,.2038549929857254,6587.49462890625,no,yes,yes,675,112,60,40,7,83,19,80,17,196.8899993896484,2977004.25,138999.890625,157521.4375,218999.890625,19611,9.600000381469727,57.90000152587891,.0762055367231369
az,1984,2.140000104904175,5,13265.93359375,60.37902069091797,.2967033088207245,3.8225998878479,4.744609832763672,19,0,.2091269940137863,6709.97021484375,no,yes,yes,869,149,81,51,8,118,34,123,33,212.3609924316406,3071995.75,138000.078125,158672.53125,219999.96875,20613,7.5,59.50000381469727,.1062139719724655
az,1985,1.860000014305115,6.5,13726.6953125,58.64853286743164,.3813559412956238,3.756200075149536,4.659709930419922,21,0,.1884279996156693,6771.2626953125,no,yes,yes,893,150,75,48,11,100,26,121,30,225.8240051269531,3186998,140000.0625,159832.03125,220000,21580,7.199999809265137,60.10000228881836,.0781956017017365
az,1986,1.779999971389771,6.900000095367432,14107.3271484375,60.28018188476563,.3715170323848724,3.690999984741211,4.576320171356201,21,0,.1715389937162399,8129.0078125,no,yes,yes,1007,173,85,72,19,104,30,130,25,242.8269958496094,3278998,148000.140625,161000,210999.90625,26655,7,60.70000076293945,.0677125155925751
az,1987,1.720000028610229,6.199999809265137,14241,60.21505737304688,.3600000143051147,3.62689995765686,4.494420051574707,21,0,.168724000453949,9370.654296875,no,yes,yes,937,172,87,50,16,99,25,121,34,241.7799987792969,3385996.25,149000.21875,162000.296875,211999.90625,31729,6.199999809265137,61.5,.0641113221645355
az,1988,1.679999947547913,6.300000190734863,14408.0849609375,60.49766540527344,.3464870154857635,3.563999891281128,4.413990020751953,21,0,.1610050052404404,9815.720703125,no,yes,yes,944,136,67,54,14,100,14,116,31,238.2339935302734,3488995,147999.9375,157000.65625,218000.046875,34247,5.5,62.30000305175781,.0265678428113461
ar,1982,1.190000057220459,9.800000190734863,10267.302734375,54.47585678100586,.6503580212593079,22.96719932556152,.3282899856567383,21,36.71279907226563,.2049030065536499,7208.50048828125,no,no,no,550,102,64,36,5,62,24,61,18,271.4590148925781,2306998.5,121999.9921875,121269.5,157000.015625,16630,9.699999809265137,57.79999923706055,-.0347338244318962
